what,kind,bundleId,bundleVersion,description,time
java.specification.name,sysinfo,,,"Java Platform API Specification",1388481574745
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1388481574745
java.specification.version,sysinfo,,,"1.6",1388481574745
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1388481574745
java.version,sysinfo,,,"1.6.0_23",1388481574745
java.vm.info,sysinfo,,,"mixed mode",1388481574745
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1388481574745
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1388481574745
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1388481574745
java.vm.specification.version,sysinfo,,,"1.0",1388481574745
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1388481574745
java.vm.version,sysinfo,,,"19.0-b09",1388481574745
started,bundle,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch",1388481575085
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1388481575435
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1388481593695
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1388481593785
started,bundle,com.altera.sbtgui.core,13.0.0.156,"com.altera.sbtgui.core",1388481597845
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388481599665
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388481610526
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1388481625526
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1388481625596
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1388481625606
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1388481625636
error,log,,,"Unable to validate connection settings.",1388481634726
error,log,,,"Unable to validate connection settings.",1388481634726
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388481634826
