what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1400206992089
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1400206992105
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1400206992136
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1400206992152
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1400206992152
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1400206992152
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1400206992167
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1400206992183
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1400206992198
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1400206992198
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1400206992198
started,bundle,com.altera.sbtgui.integration,13.0.0.156,"com.altera.sbtgui.integration",1400206992214
started,bundle,com.altera.sbtgui.project,13.0.0.156,"com.altera.sbtgui.project",1400206992214
started,bundle,com.altera.systemconsole,13.0.0.156,"com.altera.systemconsole",1400206992214
started,bundle,com.altera.systemconsole.designs.plugin,13.0.0.156,"com.altera.systemconsole.designs.plugin",1400206992214
started,bundle,com.altera.utilities,13.0.0.156,"com.altera.utilities",1400206992214
os,sysinfo,,,"win32",1400206992230
arch,sysinfo,,,"x86",1400206992230
ws,sysinfo,,,"win32",1400206992230
locale,sysinfo,,,"zh_CN",1400206992230
processors,sysinfo,,,"2",1400206992230
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1400206992230
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1400206992230
java.specification.name,sysinfo,,,"Java Platform API Specification",1400206992230
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1400206992230
java.specification.version,sysinfo,,,"1.6",1400206992230
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1400206992230
java.version,sysinfo,,,"1.6.0_23",1400206992230
