what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1408194382245
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1408194382277
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1408194382323
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1408194382355
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1408194382386
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1408194382401
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1408194382464
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1408194382479
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1408194382526
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1408194382557
started,bundle,com.altera.sbtgui.integration,13.0.0.156,"com.altera.sbtgui.integration",1408194382573
started,bundle,com.altera.sbtgui.project,13.0.0.156,"com.altera.sbtgui.project",1408194382589
started,bundle,com.altera.systemconsole,13.0.0.156,"com.altera.systemconsole",1408194382589
started,bundle,com.altera.systemconsole.designs.plugin,13.0.0.156,"com.altera.systemconsole.designs.plugin",1408194382589
started,bundle,com.altera.utilities,13.0.0.156,"com.altera.utilities",1408194382589
os,sysinfo,,,"win32",1408194382604
arch,sysinfo,,,"x86",1408194382604
ws,sysinfo,,,"win32",1408194382604
locale,sysinfo,,,"zh_CN",1408194382604
processors,sysinfo,,,"2",1408194382604
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1408194382604
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1408194382604
java.specification.name,sysinfo,,,"Java Platform API Specification",1408194382604
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1408194382604
java.specification.version,sysinfo,,,"1.6",1408194382604
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1408194382604
java.version,sysinfo,,,"1.6.0_23",1408194382604
java.vm.info,sysinfo,,,"mixed mode",1408194382604
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1408194382604
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1408194382604
